ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
1,Black or African American Alone,0,Not Hispanic or Latino,2018,2018,11727,"Chicago, IL",16000US1714000,chicago-il,784266,0.289826119
6,Two or More Races,1,Hispanic or Latino,2018,2018,3962.520536,"Chicago, IL",16000US1714000,chicago-il,26453,0.009775727
0,White Alone,0,Not Hispanic or Latino,2018,2018,15232,"Chicago, IL",16000US1714000,chicago-il,899980,0.332588319
5,Some Other Race Alone,1,Hispanic or Latino,2018,2018,16083,"Chicago, IL",16000US1714000,chicago-il,240252,0.088785316
0,White Alone,1,Hispanic or Latino,2018,2018,16765,"Chicago, IL",16000US1714000,chicago-il,489985,0.181074343
5,Some Other Race Alone,0,Not Hispanic or Latino,2018,2018,2863,"Chicago, IL",16000US1714000,chicago-il,8185,0.003024773
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2018,2018,253,"Chicago, IL",16000US1714000,chicago-il,254,9.38659E-05
6,Two or More Races,0,Not Hispanic or Latino,2018,2018,6175.027287,"Chicago, IL",16000US1714000,chicago-il,54227,0.020039631
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2018,2018,288,"Chicago, IL",16000US1714000,chicago-il,247,9.1279E-05
1,Black or African American Alone,1,Hispanic or Latino,2018,2018,3285,"Chicago, IL",16000US1714000,chicago-il,13223,0.00488657
3,Asian Alone,1,Hispanic or Latino,2018,2018,901,"Chicago, IL",16000US1714000,chicago-il,1838,0.000679234
3,Asian Alone,0,Not Hispanic or Latino,2018,2018,9369,"Chicago, IL",16000US1714000,chicago-il,179841,0.066460383
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2018,2018,1307,"Chicago, IL",16000US1714000,chicago-il,2581,0.000953811
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2018,2018,1731,"Chicago, IL",16000US1714000,chicago-il,4656,0.001720628
5,Some Other Race Alone,1,Hispanic or Latino,2017,2017,17692,"Chicago, IL",16000US1714000,chicago-il,279961,0.103060893
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2017,2017,151,"Chicago, IL",16000US1714000,chicago-il,90,3.31313E-05
0,White Alone,1,Hispanic or Latino,2017,2017,18391,"Chicago, IL",16000US1714000,chicago-il,461300,0.169816475
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2017,2017,409,"Chicago, IL",16000US1714000,chicago-il,300,0.000110438
1,Black or African American Alone,1,Hispanic or Latino,2017,2017,2139,"Chicago, IL",16000US1714000,chicago-il,11826,0.004353457
6,Two or More Races,1,Hispanic or Latino,2017,2017,4304.256614,"Chicago, IL",16000US1714000,chicago-il,27455,0.010106896
6,Two or More Races,0,Not Hispanic or Latino,2017,2017,5171.92585,"Chicago, IL",16000US1714000,chicago-il,48731,0.017939143
3,Asian Alone,1,Hispanic or Latino,2017,2017,873,"Chicago, IL",16000US1714000,chicago-il,2329,0.000857365
5,Some Other Race Alone,0,Not Hispanic or Latino,2017,2017,2483,"Chicago, IL",16000US1714000,chicago-il,6888,0.002535651
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2017,2017,1122,"Chicago, IL",16000US1714000,chicago-il,2802,0.001031489
0,White Alone,0,Not Hispanic or Latino,2017,2017,13447,"Chicago, IL",16000US1714000,chicago-il,893334,0.328859377
3,Asian Alone,0,Not Hispanic or Latino,2017,2017,9054,"Chicago, IL",16000US1714000,chicago-il,179176,0.065959325
1,Black or African American Alone,0,Not Hispanic or Latino,2017,2017,13546,"Chicago, IL",16000US1714000,chicago-il,797253,0.293489473
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2017,2017,1981,"Chicago, IL",16000US1714000,chicago-il,5017,0.001846888
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2016,2016,1970,"Chicago, IL",16000US1714000,chicago-il,5524,0.002042171
6,Two or More Races,1,Hispanic or Latino,2016,2016,3966.081189,"Chicago, IL",16000US1714000,chicago-il,27407,0.010132109
3,Asian Alone,0,Not Hispanic or Latino,2016,2016,8286,"Chicago, IL",16000US1714000,chicago-il,170440,0.063010057
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2016,2016,1034,"Chicago, IL",16000US1714000,chicago-il,3027,0.001119053
0,White Alone,0,Not Hispanic or Latino,2016,2016,14297,"Chicago, IL",16000US1714000,chicago-il,882354,0.326197936
6,Two or More Races,0,Not Hispanic or Latino,2016,2016,4907.070103,"Chicago, IL",16000US1714000,chicago-il,46978,0.017367323
3,Asian Alone,1,Hispanic or Latino,2016,2016,810,"Chicago, IL",16000US1714000,chicago-il,1858,0.000686885
0,White Alone,1,Hispanic or Latino,2016,2016,17014,"Chicago, IL",16000US1714000,chicago-il,427231,0.157943264
5,Some Other Race Alone,1,Hispanic or Latino,2016,2016,15418,"Chicago, IL",16000US1714000,chicago-il,332173,0.122801219
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2016,2016,327,"Chicago, IL",16000US1714000,chicago-il,583,0.00021553
1,Black or African American Alone,1,Hispanic or Latino,2016,2016,2015,"Chicago, IL",16000US1714000,chicago-il,8605,0.003181187
5,Some Other Race Alone,0,Not Hispanic or Latino,2016,2016,1318,"Chicago, IL",16000US1714000,chicago-il,4255,0.001573033
1,Black or African American Alone,0,Not Hispanic or Latino,2016,2016,14207,"Chicago, IL",16000US1714000,chicago-il,793852,0.293479583
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2016,2016,423,"Chicago, IL",16000US1714000,chicago-il,678,0.00025065
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2015,2015,1182,"Chicago, IL",16000US1714000,chicago-il,3938,0.001447498
3,Asian Alone,0,Not Hispanic or Latino,2015,2015,8401,"Chicago, IL",16000US1714000,chicago-il,166771,0.061300337
5,Some Other Race Alone,0,Not Hispanic or Latino,2015,2015,1085,"Chicago, IL",16000US1714000,chicago-il,4236,0.001557035
1,Black or African American Alone,1,Hispanic or Latino,2015,2015,2785,"Chicago, IL",16000US1714000,chicago-il,10720,0.003940371
1,Black or African American Alone,0,Not Hispanic or Latino,2015,2015,12113,"Chicago, IL",16000US1714000,chicago-il,834048,0.306572627
5,Some Other Race Alone,1,Hispanic or Latino,2015,2015,17225,"Chicago, IL",16000US1714000,chicago-il,306587,0.112692773
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2015,2015,298,"Chicago, IL",16000US1714000,chicago-il,396,0.000145558
