lab_report_date,cases_total,deaths_total,cases_age_0_17,cases_age_18_29,cases_age_30_39,cases_age_40_49,cases_age_50_59,cases_age_60_69,cases_age_70_79,cases_age_80_,cases_age_unknown,cases_female,cases_male,cases_unknown_gender,cases_latinx,cases_asian_non_latinx,cases_black_non_latinx,cases_white_non_latinx,cases_other_non_latinx,cases_unknown_race_eth,deaths_0_17_yrs,deaths_18_29_yrs,deaths_30_39_yrs,deaths_40_49_yrs,deaths_50_59_yrs,deaths_60_69_yrs,deaths_70_79_yrs,deaths_80_yrs,deaths_unknown_age,deaths_female,deaths_male,deaths_unknown_gender,deaths_latinx,deaths_asian_non_latinx,deaths_black_non_latinx,deaths_white_non_latinx,deaths_other_non_latinx,deaths_unknown_race_eth
7/17/2020,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
7/16/2020,39,0,1,17,7,6,2,2,1,1,2,20,19,0,5,1,11,8,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/15/2020,98,4,15,22,18,12,11,9,7,4,0,54,44,0,25,1,36,17,6,13,0,0,0,0,1,2,0,1,0,1,3,0,1,0,3,0,0,0
7/14/2020,234,3,36,60,39,36,30,18,13,2,0,129,103,2,93,3,44,40,13,41,0,0,0,0,1,0,1,1,0,3,0,0,1,0,0,0,0,2
7/13/2020,255,4,26,74,52,36,27,24,4,12,0,147,107,1,79,5,66,30,17,58,0,1,0,0,1,1,0,1,0,1,3,0,2,0,1,1,0,0
7/12/2020,76,3,7,21,13,13,9,4,7,2,0,42,34,0,22,4,20,15,5,10,0,0,0,0,0,1,0,2,0,2,1,0,0,0,1,2,0,0
7/11/2020,128,2,9,52,16,20,12,11,7,0,1,72,56,0,25,4,32,26,9,32,0,1,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0
7/10/2020,319,6,35,110,64,46,22,16,18,8,0,157,157,5,85,4,89,46,12,83,0,0,0,0,2,1,2,1,0,1,5,0,3,0,2,1,0,0
7/9/2020,271,7,28,87,55,39,32,19,6,5,0,129,141,1,83,3,80,49,11,45,0,0,0,0,0,2,5,0,0,3,4,0,3,0,3,1,0,0
7/8/2020,281,4,36,84,66,37,31,17,9,1,0,142,136,3,86,8,62,45,13,67,0,0,0,0,0,2,1,1,0,3,1,0,2,0,1,1,0,0
7/7/2020,311,4,36,97,61,47,41,17,7,5,0,168,141,2,92,13,85,60,7,54,0,0,0,0,0,3,0,1,0,3,1,0,3,0,1,0,0,0
7/6/2020,258,3,24,67,59,39,34,19,10,6,0,142,110,6,85,8,62,38,8,57,0,0,0,0,0,1,0,2,0,2,1,0,1,0,0,2,0,0
7/5/2020,77,2,6,27,16,10,10,7,1,0,0,44,32,1,22,0,21,18,7,9,0,0,0,1,0,1,0,0,0,0,2,0,1,0,1,0,0,0
7/4/2020,61,6,8,16,10,13,6,5,2,1,0,33,26,2,9,0,16,10,3,23,0,0,0,0,1,2,1,2,0,1,5,0,4,0,0,1,1,0
7/3/2020,147,5,13,43,31,23,13,13,7,4,0,90,57,0,42,1,38,27,12,27,0,0,0,0,0,2,1,2,0,3,2,0,1,0,4,0,0,0
7/2/2020,234,4,24,72,36,37,26,21,10,8,0,133,99,2,80,5,55,47,6,41,0,0,0,0,0,1,1,2,0,2,2,0,2,0,1,1,0,0
7/1/2020,238,13,14,85,50,29,22,24,4,10,0,141,96,1,73,1,61,47,4,52,0,0,0,3,2,2,2,4,0,5,8,0,6,0,4,3,0,0
