,cases_age_0_17,cases_age_18_29,cases_age_30_39,cases_age_40_49,cases_age_50_59,cases_age_60_69,cases_age_70_79,cases_age_80_,cases_age_unknown,cases_asian_non_latinx,cases_black_non_latinx,cases_female,cases_latinx,cases_male,cases_other_non_latinx,cases_total,cases_unknown_gender,cases_unknown_race_eth,cases_white_non_latinx,deaths_0_17_yrs,deaths_18_29_yrs,deaths_30_39_yrs,deaths_40_49_yrs,deaths_50_59_yrs,deaths_60_69_yrs,deaths_70_79_yrs,deaths_80_yrs,deaths_asian_non_latinx,deaths_black_non_latinx,deaths_female,deaths_latinx,deaths_male,deaths_other_non_latinx,deaths_total,deaths_unknown_age,deaths_unknown_gender,deaths_unknown_race_eth,deaths_white_non_latinx,lab_report_date
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2020-07-17T00:00:00.000
1,1,17,7,6,2,2,1,1,2,1,11,20,5,19,4,39,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-07-16T00:00:00.000
2,15,22,18,12,11,9,7,4,0,1,36,54,25,44,6,98,0,13,17,0,0,0,0,1,2,0,1,0,3,1,1,3,0,4,0,0,0,0,2020-07-15T00:00:00.000
3,36,60,39,36,30,18,13,2,0,3,44,129,93,103,13,234,2,41,40,0,0,0,0,1,0,1,1,0,0,3,1,0,0,3,0,0,2,0,2020-07-14T00:00:00.000
4,26,74,52,36,27,24,4,12,0,5,66,147,79,107,17,255,1,58,30,0,1,0,0,1,1,0,1,0,1,1,2,3,0,4,0,0,0,1,2020-07-13T00:00:00.000
5,7,21,13,13,9,4,7,2,0,4,20,42,22,34,5,76,0,10,15,0,0,0,0,0,1,0,2,0,1,2,0,1,0,3,0,0,0,2,2020-07-12T00:00:00.000
6,9,52,16,20,12,11,7,0,1,4,32,72,25,56,9,128,0,32,26,0,1,0,0,0,0,1,0,0,2,0,0,2,0,2,0,0,0,0,2020-07-11T00:00:00.000
7,35,110,64,46,22,16,18,8,0,4,89,157,85,157,12,319,5,83,46,0,0,0,0,2,1,2,1,0,2,1,3,5,0,6,0,0,0,1,2020-07-10T00:00:00.000
8,28,87,55,39,32,19,6,5,0,3,80,129,83,141,11,271,1,45,49,0,0,0,0,0,2,5,0,0,3,3,3,4,0,7,0,0,0,1,2020-07-09T00:00:00.000
9,36,84,66,37,31,17,9,1,0,8,62,142,86,136,13,281,3,67,45,0,0,0,0,0,2,1,1,0,1,3,2,1,0,4,0,0,0,1,2020-07-08T00:00:00.000
