,cases_age_0_17,cases_age_18_29,cases_age_30_39,cases_age_40_49,cases_age_50_59,cases_age_60_69,cases_age_70_79,cases_age_80_,cases_age_unknown,cases_asian_non_latinx,cases_black_non_latinx,cases_female,cases_latinx,cases_male,cases_other_non_latinx,cases_total,cases_unknown_gender,cases_unknown_race_eth,cases_white_non_latinx,deaths_0_17_yrs,deaths_18_29_yrs,deaths_30_39_yrs,deaths_40_49_yrs,deaths_50_59_yrs,deaths_60_69_yrs,deaths_70_79_yrs,deaths_80_yrs,deaths_asian_non_latinx,deaths_black_non_latinx,deaths_female,deaths_latinx,deaths_male,deaths_other_non_latinx,deaths_total,deaths_unknown_age,deaths_unknown_gender,deaths_unknown_race_eth,deaths_white_non_latinx,lab_report_date
0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-07-22T00:00:00.000
1,4,13,13,12,4,5,6,4,1,1,17,30,8,32,8,62,0,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-07-21T00:00:00.000
2,17,31,33,21,15,11,8,2,0,3,34,74,27,64,12,138,0,39,23,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,2020-07-20T00:00:00.000
3,9,14,16,10,10,4,4,2,0,2,26,41,15,27,2,69,1,9,15,0,0,0,1,0,1,0,0,0,1,1,1,1,0,2,0,0,0,0,2020-07-19T00:00:00.000
4,11,23,18,13,14,6,5,1,0,0,32,40,23,49,6,91,2,18,12,0,0,0,0,0,0,1,1,0,0,0,1,2,0,2,0,0,0,1,2020-07-18T00:00:00.000
5,18,54,36,37,17,16,13,4,0,4,53,103,57,89,14,195,3,27,40,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2020-07-17T00:00:00.000
6,23,84,48,44,29,21,7,8,0,1,66,134,80,123,14,264,7,56,47,0,0,0,0,0,0,1,1,1,0,0,0,2,0,2,0,0,0,1,2020-07-16T00:00:00.000
7,28,71,46,34,34,16,11,7,0,4,74,138,84,108,9,247,1,37,39,0,0,0,0,1,2,0,1,0,3,1,1,3,0,4,0,0,0,0,2020-07-15T00:00:00.000
8,39,71,48,43,35,22,13,2,0,3,59,155,111,115,12,273,3,39,49,0,0,0,0,1,0,1,1,0,0,3,2,0,0,3,0,0,1,0,2020-07-14T00:00:00.000
9,32,81,64,46,30,29,6,12,0,5,84,168,105,129,10,300,3,54,42,0,1,0,0,0,1,0,1,0,1,1,1,2,0,3,0,0,0,1,2020-07-13T00:00:00.000
10,7,20,13,13,9,4,6,2,0,3,22,41,24,33,5,74,0,5,15,0,0,0,0,0,2,0,2,0,1,2,1,2,0,4,0,0,0,2,2020-07-12T00:00:00.000
11,9,52,16,21,12,11,8,0,1,4,34,72,30,58,8,130,0,27,27,0,1,0,0,0,0,1,0,0,2,0,0,2,0,2,0,0,0,0,2020-07-11T00:00:00.000
12,35,111,66,50,22,16,19,5,0,5,95,159,97,160,12,324,5,66,49,0,0,0,0,2,1,2,1,0,2,1,3,5,0,6,0,0,0,1,2020-07-10T00:00:00.000
13,26,88,54,37,30,22,6,5,0,4,82,130,80,138,10,268,0,39,53,0,0,0,0,0,2,5,0,0,3,3,3,4,0,7,0,0,0,1,2020-07-09T00:00:00.000
14,36,93,66,38,30,18,10,2,0,8,67,154,85,137,14,293,2,72,47,0,0,0,0,0,2,1,1,0,1,3,2,1,0,4,0,0,0,1,2020-07-08T00:00:00.000
15,35,108,66,51,42,17,8,5,1,12,89,180,93,152,10,333,1,66,63,0,0,0,0,0,3,0,1,0,1,3,3,1,0,4,0,0,0,0,2020-07-07T00:00:00.000
16,21,73,64,39,34,21,10,6,0,9,65,145,82,118,10,268,5,63,39,0,0,0,0,1,1,0,2,0,1,3,1,1,0,4,0,0,0,2,2020-07-06T00:00:00.000
17,6,28,18,10,12,8,2,0,0,0,19,49,22,34,6,84,1,19,18,0,0,0,1,2,1,0,0,0,1,1,1,3,0,4,0,0,0,2,2020-07-05T00:00:00.000
18,8,16,10,13,6,5,2,1,0,0,16,34,11,26,3,61,1,21,10,0,0,0,0,0,2,1,2,0,0,1,4,4,1,5,0,0,0,0,2020-07-04T00:00:00.000
19,13,43,34,23,14,13,7,4,0,1,37,91,41,59,11,151,1,33,28,0,0,0,0,0,2,1,2,0,4,3,1,2,0,5,0,0,0,0,2020-07-03T00:00:00.000
20,24,79,43,39,27,22,11,8,0,6,59,139,80,112,6,253,2,52,50,0,0,0,0,0,1,1,3,0,1,3,3,2,0,5,0,0,0,1,2020-07-02T00:00:00.000
21,14,87,49,30,22,24,4,10,0,1,62,141,77,99,4,240,0,51,45,0,0,0,3,2,2,2,4,0,4,5,6,8,0,13,0,0,0,3,2020-07-01T00:00:00.000
22,25,91,60,39,24,15,5,6,0,3,52,136,105,128,4,265,1,58,43,0,0,0,0,0,1,2,0,0,1,2,1,1,0,3,0,0,0,1,2020-06-30T00:00:00.000
23,22,92,54,35,41,17,9,10,0,3,61,138,103,139,9,280,3,54,50,0,0,0,0,0,2,2,3,0,2,4,3,3,0,7,0,0,0,2,2020-06-29T00:00:00.000
24,8,35,22,20,10,9,4,2,0,1,20,64,34,46,5,110,0,25,25,0,0,0,1,0,2,0,2,0,2,4,2,1,0,5,0,0,0,1,2020-06-28T00:00:00.000
25,11,38,22,24,13,10,7,3,0,1,34,64,43,63,6,128,1,25,19,0,0,0,0,0,1,2,2,0,3,4,1,1,0,5,0,0,0,1,2020-06-27T00:00:00.000
26,18,59,48,29,24,17,11,8,0,4,40,120,67,93,6,214,1,57,40,0,0,1,2,0,0,3,6,0,4,6,1,6,0,12,0,0,0,7,2020-06-26T00:00:00.000
27,21,67,63,37,21,18,11,4,0,3,53,120,83,122,10,242,0,54,39,0,0,0,3,0,2,2,3,0,3,5,6,5,0,10,0,0,0,1,2020-06-25T00:00:00.000
28,22,75,55,28,32,11,7,8,0,5,49,139,78,97,10,238,2,59,37,0,0,0,0,3,4,1,1,0,3,5,6,4,0,9,0,0,0,0,2020-06-24T00:00:00.000
29,12,70,43,36,27,16,17,8,0,7,37,114,94,114,4,229,1,43,44,0,0,0,0,0,3,2,3,0,4,3,3,5,0,8,0,0,0,1,2020-06-23T00:00:00.000
30,23,57,35,34,26,19,15,3,0,2,43,110,102,101,4,212,1,37,24,0,1,0,0,2,3,1,2,0,1,5,7,4,0,9,0,0,0,1,2020-06-22T00:00:00.000
31,4,16,11,3,7,2,3,1,0,1,10,28,15,19,2,47,0,13,6,0,0,1,0,0,3,3,3,0,3,5,3,5,0,10,0,0,0,4,2020-06-21T00:00:00.000
32,18,30,17,21,18,5,9,3,0,1,14,63,68,58,4,121,0,17,17,0,0,1,0,2,3,1,4,0,2,4,8,7,0,11,0,0,0,1,2020-06-20T00:00:00.000
33,28,67,38,29,22,17,9,6,0,2,47,108,83,102,10,216,6,48,26,0,0,0,1,3,3,2,6,1,5,7,3,8,0,15,0,0,0,6,2020-06-19T00:00:00.000
34,23,40,34,26,28,8,5,10,0,3,29,88,77,82,4,174,4,36,25,0,0,1,1,0,5,4,3,0,7,7,6,7,0,14,0,0,0,1,2020-06-18T00:00:00.000
35,17,55,32,30,29,23,14,12,0,3,40,103,90,107,7,212,2,42,30,0,0,0,2,3,7,5,5,1,7,11,10,11,0,22,0,0,0,4,2020-06-17T00:00:00.000
36,18,60,38,32,31,21,3,9,0,5,51,119,75,91,4,212,2,56,21,0,1,0,2,3,1,2,2,0,1,5,9,6,0,11,0,0,0,1,2020-06-16T00:00:00.000
37,35,58,41,34,29,25,8,2,0,5,47,129,100,101,8,232,2,52,20,0,0,0,1,1,2,5,11,2,4,9,5,11,0,20,0,0,1,8,2020-06-15T00:00:00.000
38,6,23,18,18,15,6,2,4,0,1,24,44,27,48,6,92,0,30,4,0,0,0,1,1,3,2,5,0,2,6,5,6,0,12,0,0,1,4,2020-06-14T00:00:00.000
39,13,26,18,14,22,14,7,7,0,0,23,65,45,56,9,121,0,30,14,0,0,0,0,3,5,5,5,1,6,11,3,7,0,18,0,0,0,8,2020-06-13T00:00:00.000
40,32,58,41,46,28,21,8,10,0,1,38,137,125,103,6,244,4,54,20,0,0,1,0,3,6,7,3,0,6,9,11,11,0,20,0,0,0,3,2020-06-12T00:00:00.000
41,18,64,26,27,30,17,9,4,0,3,30,103,90,87,5,195,5,43,24,0,0,0,1,1,2,2,4,1,4,4,3,6,0,10,0,0,0,2,2020-06-11T00:00:00.000
42,12,57,46,31,34,26,18,9,0,3,46,129,98,99,7,233,5,50,29,0,0,1,2,2,1,4,1,1,6,4,4,7,0,11,0,0,0,0,2020-06-10T00:00:00.000
43,19,49,33,45,43,38,14,11,0,4,36,113,103,135,14,252,4,61,34,0,0,0,1,6,4,3,6,0,7,5,11,15,0,20,0,0,0,2,2020-06-09T00:00:00.000
44,19,61,45,47,40,24,14,12,0,3,42,134,128,123,10,262,5,51,28,0,0,1,1,2,2,3,6,1,5,6,5,9,1,15,0,0,0,3,2020-06-08T00:00:00.000
45,3,29,29,15,13,9,7,4,0,3,20,51,43,58,2,109,0,31,10,0,0,1,2,1,8,1,6,0,7,6,10,13,0,19,0,0,0,2,2020-06-07T00:00:00.000
46,18,34,21,36,28,20,9,4,0,1,25,88,79,81,6,170,1,37,22,0,0,1,1,0,7,7,4,1,9,7,8,13,0,20,0,0,0,2,2020-06-06T00:00:00.000
47,34,75,69,50,48,30,18,10,1,4,45,172,172,162,11,335,1,76,27,0,0,0,0,3,1,9,4,0,7,10,5,7,0,17,0,0,0,5,2020-06-05T00:00:00.000
48,24,88,62,53,39,26,10,9,1,4,63,157,136,152,8,312,3,78,23,0,0,2,1,0,6,4,2,1,8,6,6,9,0,15,0,0,0,0,2020-06-04T00:00:00.000
49,24,59,47,41,44,32,18,14,0,3,68,150,107,128,18,279,1,57,26,0,2,0,0,0,1,9,9,0,8,10,9,11,0,21,0,0,0,4,2020-06-03T00:00:00.000
50,14,33,44,45,32,34,18,27,0,11,50,117,84,107,10,247,23,75,17,0,0,1,0,3,3,4,13,2,4,12,15,12,0,24,0,0,0,3,2020-06-02T00:00:00.000
51,21,52,35,33,35,17,18,27,0,8,51,137,86,100,12,238,1,46,35,0,0,0,0,2,4,4,10,1,10,12,5,8,0,20,0,0,1,3,2020-06-01T00:00:00.000
52,16,29,19,22,11,13,5,5,0,1,37,59,41,60,0,120,1,34,7,0,0,0,3,2,5,7,5,0,8,9,9,13,0,22,0,0,0,5,2020-05-31T00:00:00.000
53,23,51,39,41,40,23,11,5,0,3,47,126,98,105,10,233,2,55,20,0,0,0,2,1,7,5,6,0,5,11,11,10,1,21,0,0,0,4,2020-05-30T00:00:00.000
54,32,117,69,82,74,41,18,23,0,9,94,244,212,207,15,456,5,93,33,0,0,0,1,3,4,7,5,0,11,12,6,8,1,20,0,0,0,2,2020-05-29T00:00:00.000
55,41,107,86,96,68,60,28,23,0,7,106,248,204,253,15,509,8,120,57,0,0,0,1,5,1,4,11,0,6,11,11,11,0,22,0,0,0,5,2020-05-28T00:00:00.000
56,66,119,95,109,80,62,32,21,0,8,96,304,283,269,20,584,11,129,48,0,0,2,1,1,7,7,8,1,10,10,10,16,0,26,0,0,0,5,2020-05-27T00:00:00.000
57,60,160,127,132,119,75,39,20,0,14,106,380,341,344,36,732,8,180,55,0,0,0,0,2,8,9,4,1,12,8,7,15,0,23,0,0,0,3,2020-05-26T00:00:00.000
58,7,34,34,39,44,50,27,17,0,5,67,122,73,128,3,252,2,58,46,0,0,1,0,4,4,7,7,0,10,11,6,12,1,23,0,0,0,6,2020-05-25T00:00:00.000
59,16,56,42,49,33,48,22,16,0,3,50,150,117,132,12,282,0,83,17,0,0,0,4,2,6,8,7,0,12,14,9,13,0,27,0,0,0,6,2020-05-24T00:00:00.000
60,31,64,57,54,53,36,18,11,0,7,70,172,124,149,10,324,3,81,32,0,0,1,1,2,4,8,12,0,9,14,9,14,0,28,0,0,0,10,2020-05-23T00:00:00.000
