Demo_id,Date_Object,Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown
16,20200715,2020-07-15,IL,157825,34463,26330,49483,4373,228,390,,5827,36731,49483.0,71611.0,36731.0,7427,3219,1998,1491,346,10,8,,52,303,1491.0,5633.0,102.0
72,20200712,2020-07-12,IL,155048,33468,25828,48999,4317,226,385,,5719,36106,48999.0,69943.0,36106.0,7388,3199,1990,1482,343,10,8,,52,304,1482.0,5602.0,103.0
128,20200708,2020-07-08,IL,150554,31974,25072,48116,4249,225,384,,5544,34990,48116.0,67448.0,34990.0,7309,3163,1967,1460,337,10,8,,51,313,1460.0,5536.0,103.0
184,20200705,2020-07-05,IL,148373,31143,24691,47679,4209,224,379,,5493,34555,47679.0,66139.0,34555.0,7230,3123,1958,1448,329,10,7,,48,307,1448.0,5475.0,97.0
240,20200701,2020-07-01,IL,144013,30175,24191,46832,4163,219,373,,5383,32677,46832.0,64504.0,32677.0,6951,3090,1934,1435,327,9,7,,48,101,1435.0,5415.0,101.0
296,20200628,2020-06-28,IL,141723,29505,23774,46213,4119,214,366,,5361,32171,46213.0,63339.0,32171.0,6888,3061,1923,1417,325,9,6,,49,98,1417.0,5373.0,98.0
352,20200624,2020-06-24,IL,138540,28469,23223,45294,4055,210,356,,5263,31670,45294.0,61576.0,31670.0,6770,3004,1892,1383,322,9,6,,50,50,1383.0,5283.0,104.0
408,20200621,2020-06-21,IL,136762,27901,22941,44647,3995,211,352,,5218,31497,44647.0,60618.0,31497.0,6647,2943,1869,1353,318,9,6,,51,51,1353.0,5196.0,98.0
464,20200617,2020-06-17,IL,134185,26830,22296,43765,3872,204,339,,4798,32081,43765.0,58339.0,32081.0,6485,2856,1832,1301,306,9,5,,45,45,1301.0,5053.0,131.0
520,20200614,2020-06-14,IL,132543,26338,22004,42950,3803,201,331,,4780,32136,42950.0,57457.0,32136.0,6308,2770,1793,1257,298,9,5,,44,44,1257.0,4919.0,132.0
