,lab_report_date,cases_total,deaths_total,cases_age_0_17,cases_age_18_29,cases_age_30_39,cases_age_40_49,cases_age_50_59,cases_age_60_69,cases_age_70_79,cases_age_80_,cases_age_unknown,cases_female,cases_male,cases_unknown_gender,cases_latinx,cases_asian_non_latinx,cases_black_non_latinx,cases_white_non_latinx,cases_other_non_latinx,cases_unknown_race_eth,deaths_0_17_yrs,deaths_18_29_yrs,deaths_30_39_yrs,deaths_40_49_yrs,deaths_50_59_yrs,deaths_60_69_yrs,deaths_70_79_yrs,deaths_80_yrs,deaths_unknown_age,deaths_female,deaths_male,deaths_unknown_gender,deaths_latinx,deaths_asian_non_latinx,deaths_black_non_latinx,deaths_white_non_latinx,deaths_other_non_latinx,deaths_unknown_race_eth
0,2020-07-25T00:00:00.000,24,2,4,7,5,2,2,2,1,1,0,13,11,0,2,0,8,8,3,3,0,0,0,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0
1,2020-07-24T00:00:00.000,137,3,9,45,28,23,12,10,3,7,0,78,59,0,12,6,35,25,8,51,0,0,1,0,1,1,0,0,0,0,3,0,3,0,0,0,0,0
2,2020-07-23T00:00:00.000,153,0,17,43,29,23,18,10,7,4,2,91,61,1,27,6,39,27,20,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2020-07-22T00:00:00.000,278,1,29,89,64,47,17,17,14,1,0,145,128,5,79,5,62,64,12,56,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
4,2020-07-21T00:00:00.000,231,1,22,64,46,47,22,13,8,8,1,115,116,0,61,2,67,41,20,40,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
5,2020-07-20T00:00:00.000,369,5,48,86,85,56,44,34,13,3,0,188,178,3,125,8,76,58,29,73,0,0,1,1,0,2,1,0,0,2,3,0,3,0,1,1,0,0
6,2020-07-19T00:00:00.000,97,2,14,25,21,11,13,5,6,2,0,50,46,1,24,2,27,15,4,25,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0
7,2020-07-18T00:00:00.000,110,4,12,30,21,17,15,6,6,3,0,50,59,1,27,1,34,10,5,33,0,0,0,0,1,1,1,1,0,2,2,0,2,0,0,2,0,0
8,2020-07-17T00:00:00.000,286,2,33,86,56,42,29,22,12,6,0,159,125,2,122,6,68,46,8,36,0,0,0,0,2,0,0,0,0,1,1,0,1,0,1,0,0,0
9,2020-07-16T00:00:00.000,260,2,24,79,49,42,28,21,8,9,0,132,124,4,85,1,70,48,12,44,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,1,0,0
10,2020-07-15T00:00:00.000,251,6,31,73,46,32,35,16,12,6,0,139,111,1,92,4,80,37,9,29,0,0,0,0,1,2,1,2,0,3,3,0,1,0,5,0,0,0
11,2020-07-14T00:00:00.000,283,3,44,71,51,45,34,23,13,2,0,158,122,3,123,3,59,50,11,37,0,0,0,0,1,0,1,1,0,3,0,0,2,0,0,0,0,1
12,2020-07-13T00:00:00.000,304,3,33,80,64,43,33,30,7,14,0,169,132,3,115,7,83,43,9,47,0,1,0,0,0,1,0,1,0,1,2,0,1,0,1,1,0,0
13,2020-07-12T00:00:00.000,72,4,7,20,12,13,8,4,6,2,0,41,31,0,23,3,23,14,4,5,0,0,0,0,0,2,0,2,0,2,2,0,1,0,1,2,0,0
14,2020-07-11T00:00:00.000,157,2,9,68,22,24,13,12,8,0,1,81,76,0,30,4,42,30,10,41,0,1,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0
15,2020-07-10T00:00:00.000,339,6,35,117,73,50,24,17,18,5,0,167,167,5,99,4,94,52,12,78,0,0,0,0,2,1,2,1,0,1,5,0,3,0,2,1,0,0
16,2020-07-09T00:00:00.000,284,8,26,95,57,39,33,22,7,5,0,134,149,1,82,4,85,56,9,48,0,0,0,0,1,2,5,0,0,4,4,0,3,0,3,2,0,0
17,2020-07-08T00:00:00.000,304,4,36,99,71,38,30,17,11,2,0,160,143,1,87,8,68,49,12,80,0,0,0,0,0,2,1,1,0,3,1,0,2,0,1,1,0,0
18,2020-07-07T00:00:00.000,335,4,35,107,66,51,44,18,8,5,1,181,152,2,95,11,90,64,10,65,0,0,0,0,0,3,0,1,0,3,1,0,3,0,1,0,0,0
19,2020-07-06T00:00:00.000,271,4,21,74,64,40,34,21,11,6,0,145,120,6,83,10,64,41,8,65,0,0,0,0,1,1,0,2,0,3,1,0,1,0,1,2,0,0
20,2020-07-05T00:00:00.000,85,4,6,28,18,11,12,8,2,0,0,50,34,1,22,0,19,18,7,19,0,0,0,1,2,1,0,0,0,1,3,0,1,0,1,2,0,0
21,2020-07-04T00:00:00.000,61,5,8,16,10,13,6,5,2,1,0,33,26,2,11,0,16,11,3,20,0,0,0,0,0,2,1,2,0,1,4,0,4,0,0,0,1,0
22,2020-07-03T00:00:00.000,168,5,13,49,36,26,16,15,9,4,0,103,64,1,42,1,38,27,13,47,0,0,0,0,0,2,1,2,0,3,2,0,1,0,4,0,0,0
23,2020-07-02T00:00:00.000,254,5,24,81,43,39,27,22,10,8,0,141,111,2,76,6,60,49,7,56,0,0,0,0,0,1,1,3,0,3,2,0,3,0,1,1,0,0
24,2020-07-01T00:00:00.000,258,13,16,93,51,30,27,25,5,11,0,149,108,1,91,1,61,51,4,50,0,0,0,3,2,2,2,4,0,5,8,0,6,0,4,3,0,0
25,2020-06-30T00:00:00.000,266,3,25,91,61,39,23,16,5,6,0,136,129,1,107,3,52,44,3,57,0,0,0,0,0,1,2,0,0,2,1,0,1,0,1,1,0,0
26,2020-06-29T00:00:00.000,278,7,22,92,54,35,39,17,9,10,0,137,138,3,101,3,61,50,9,54,0,0,0,0,0,2,2,3,0,4,3,0,3,0,2,2,0,0
27,2020-06-28T00:00:00.000,110,5,8,35,22,20,10,9,4,2,0,64,46,0,34,1,20,25,6,24,0,0,0,1,0,2,0,2,0,4,1,0,2,0,2,1,0,0
28,2020-06-27T00:00:00.000,127,5,11,38,21,24,13,10,7,3,0,63,63,1,42,2,33,19,6,25,0,0,0,0,0,1,2,2,0,4,1,0,1,0,3,1,0,0
